,Unnamed: 0,element_type,osmid,x,y,geometry,passengers,cluster,name
0,0,node,270544778,10.4052614,53.230091,POINT (10.4052614 53.230091),2,6.0,Universitätsallee
1,1,node,293938387,10.3904939,53.2529278,POINT (10.3904939 53.2529278),6,5.0,Bei Mönchsgarten
2,2,node,298512342,10.4357546,53.2611082,POINT (10.4357546 53.2611082),2,9.0,Hermann-Löns-Straße
3,3,node,304485121,10.4442936,53.236347,POINT (10.4442936 53.236347),7,10.0,Wilhelm-Leuschner-Straße
4,4,node,304485122,10.4385436,53.2372693,POINT (10.4385436 53.2372693),9,10.0,Graf-von-Moltke-Straße
5,5,node,304485123,10.4347836,53.2385554,POINT (10.4347836 53.2385554),9,7.0,St.-Stephanus-Platz
6,6,node,304485135,10.4319275,53.2377656,POINT (10.4319275 53.2377656),6,7.0,Konrad-Adenauer-Straße
7,7,node,304485136,10.429653,53.2361294,POINT (10.429653 53.2361294),6,7.0,Waldfriedhof
8,8,node,304485137,10.4287246,53.2378491,POINT (10.4287246 53.2378491),5,7.0,Schäferfeld
9,9,node,304485138,10.4269383,53.2401354,POINT (10.4269383 53.2401354),10,13.0,Kurt-Schumacher-Straße
10,10,node,304485140,10.4230445,53.2433336,POINT (10.4230445 53.2433336),4,13.0,Blümchensaal
11,11,node,304911409,10.4329576,53.2462219,POINT (10.4329576 53.2462219),5,12.0,Theodor-Heuss-Straße
12,12,node,304911410,10.4303141,53.2465477,POINT (10.4303141 53.2465477),5,12.0,Venusberg (Johanneum)
13,13,node,304911411,10.4276158,53.2474105,POINT (10.4276158 53.2474105),9,12.0,Ziegelkamp
14,14,node,304911412,10.4236403,53.2487451,POINT (10.4236403 53.2487451),7,12.0,Am Schützenplatz
15,15,node,322048072,10.397792,53.2268409,POINT (10.397792 53.2268409),4,3.0,Wichernstraße
16,16,node,322048074,10.3984829,53.2251001,POINT (10.3984829 53.2251001),1,3.0,Anna-Vogeley-Heim
17,17,node,322051798,10.4012942,53.2245326,POINT (10.4012942 53.2245326),6,3.0,Am Elsenbruch
18,18,node,322051837,10.4024801,53.2227054,POINT (10.4024801 53.2227054),2,3.0,Röntgenstraße / Kirche
