"element_ty,C,80",osmid,"highway,C,80",name,"network,C,80","public_tra,C,80","bench,C,80","operator,C,80","ref_name,C,80","route_ref,C,80","shelter,C,80","tactile_pa,C,80","bicycle_pa,C,80","bus,C,80","lines,C,94","wheelchair,C,80","designatio,C,80","local_ref,C,80","source,C,80","bin,C,80","lastcheck,C,80","passenger_,C,80","name_HVV,C,80","lit,C,80","check_date,C,80","wheelcha_1,C,80","covered,C,80","note,C,96","ref,C,80","departures,C,80","fixme,C,80","removed_re,C,80","network_wi,C,80","network__1,C,80","descriptio,C,80","comment,C,80","name_note,C,80","toilets_wh,C,80","check_da_1,C,80","level,C,80","network_sh,C,80","name_descr,C,89","line,C,80","check_da_2,C,80","amenity,C,80","loc_name,C,80","railway,C,80","name_sourc,C,80","shelter_de,C,80","surface,C,80","nodes,C,80","layer,C,80"
node,393498311,bus_stop,Am Bäckfeld,HVV,platform,yes,KVG,"L?neburg, Am B?ckfeld Post",5003,5011,5203,5921,5922,ASM,yes,no,,,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,
node,402916874,bus_stop,Häcklinger Weg,HVV,platform,no,KVG,"L?neburg, H?cklinger Weg",5011,5203,5921,5922,ASM,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,353270704,bus_stop,B 4 Parkplatz,HVV,platform,no,KVG,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,268415869,bus_stop,Stadttheater,HVV,platform,yes,KVG,"L?neburg, Stadttheater",,yes,no,,yes,5201,yes,,,,no,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2907063685,bus_stop,Sültenweg,HVV,platform,,KVG,"L?neburg, S?ltenweg",5015,5919,ASM,no,no,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,318640483,bus_stop,Am Grasweg,HVV,platform,no,KVG,"L?neburg, Am Grasweg",5015,5919,ASM,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,382390327,bus_stop,Jägerstraße,HVV,platform,no,KVG,"L?neburg, J?gerstra?e",,no,no,,yes,5919,,,,,yes,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,
node,268233024,bus_stop,Johanna-Stegen-Straße,HVV,platform,yes,KVG,"L?neburg, Johanna-Stegen-Stra?e",,yes,no,,yes,5013,5200,5202,5919,yes,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
node,178848802,bus_stop,Vor dem Neuen Tore,HVV,platform,no,KVG,"L?neburg, Vor dem Neuen Tore",,no,no,,,5013,5202,5919,,,,,,,,,,2020-12-29,,,,,,,,,,,,,,,,,,,,,,,,,
node,828077495,bus_stop,Dörnbergstraße,HVV,platform,no,KVG,"L?neburg, D?rnbergstra?e",,no,no,,yes,5009,5919,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,308648777,bus_stop,Witzendorffstraße,HVV,platform,,KVG,"L?neburg, Witzendorffstra?e",5005,5402,5404,ASM,no,,,,,yes,,,,,,,,,,,,,,,Position ist nicht exakt ..,,,,,,,,,,,,,,,,,,
node,4827722223,bus_stop,Ebelingweg,HVV,platform,,KVG,"L?neburg, Ebelingweg",,no,no,,yes,5005,5919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,414191921,bus_stop,Naruto-Straße,HVV,platform,,KVG,"L?neburg, Naruto-Stra?e",5005,5919,ASM,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,381911675,bus_stop,Krähornsberg,HVV,platform,,KVG,"L?neburg, Kr?hornsberg",5005,5919,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,414237511,bus_stop,Teilfeld,HVV,platform,yes,KVG,"L?neburg, Teilfeld",5005,ASM,yes,no,,,,yes,,,,yes,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2371152648,bus_stop,Wilhelm-Hänel-Weg,HVV,platform,yes,KVG,"L?neburg, Wilhelm-H?nel-Weg",,yes,,,yes,5002,5405,5402,5404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,317133890,bus_stop,Am Wildgehege,HVV,platform,,KVG,"L?neburg, Am Wildgehege",,,,,yes,5005,5919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1037002221,bus_stop,Laffertstraße,HVV,platform,,KVG,"L?neburg, Laffertstra?e",,,,,yes,5005,5402,5405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,293976961,bus_stop,Schomakerstraße,HVV,platform,no,KVG,"L?neburg, Schomakerstra?e",5005,ASM,no,no,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,178844318,bus_stop,Am Springintgut,HVV,platform,,KVG,"L?neburg, Am Springintgut",,no,,,yes,"5005, 5013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,121149168,bus_stop,Am Graalwall,HVV,platform,yes,KVG,"L?neburg, Am Graalwall",,yes,yes,,yes,5005,5009,5013,5200,5202,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2990731692,bus_stop,Neue Sülze,HVV,platform,yes,KVG,"L?neburg, Neue S?lze",,yes,no,,yes,5002,5005,5009,5010,5013,5014,5200,5202,5405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,262253493,bus_stop,Lambertiplatz,HVV,platform,yes,KVG,"L?neburg, Lambertiplatz",,yes,no,,yes,5002,5005,5009,5010,5013,5014,5015,5200,5202,5405,yes,,,,yes,,,,yes,,Kein Kasseler Bord vorhanden,,,,,,,,,,,,,,,,,
node,262229788,bus_stop,Rathaus,HVV,platform,,KVG,"L?neburg, Rathaus",,yes,,,yes,5002,5005,5009,5010,5013,5014,516,5200,5202,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,
node,181308509,bus_stop,Kefersteinstraße (UNI),HVV,platform,no,KVG,"L?neburg, Kefersteinstra?e/Universit?t",,no,no,,yes,5001,5012,yes,,,,yes,,,,,,Kein Kasseler Bord,,,,,,,,,,,,,,,,,,,,,,,,,
node,109895066,bus_stop,Gut Willerding,HVV,platform,,KVG,"Wendisch Evern, Gut Willerding",,no,,,,5361,5362,5601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,385545644,bus_stop,Bahnhof,HVV,platform,no,KVG,"Deutsch Evern, Bahnhof",,no,yes,,yes,5601,5605,5606,yes,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,
node,385545626,bus_stop,Von-Kleist-Weg,HVV,platform,,KVG,"Deutsch Evern, V.-Kleist-Weg",,,,,yes,5601,5605,5606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1834313719,bus_stop,"Deutsch Evern, Fritz-Reuter-Straße",,platform,no,,,5020,5606,no,yes,,yes,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1834313713,bus_stop,"Deutsch Evern, Friedhof",,platform,yes,,,5020,5606,yes,yes,,yes,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,420381006,bus_stop,Deutsch Everner Weg,HVV,platform,no,KVG,"Melbeck, Deutsch Everner Weg",,no,no,,,5605,5606,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,385545545,bus_stop,"Deutsch Evern, An der Ilmenau",,platform,yes,,,5020,5606,ASM,yes,no,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,393415825,bus_stop,"Deutsch Evern, Wandelfeld",,platform,yes,,,5020,5606,yes,no,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,385545543,bus_stop,"Deutsch Evern, Finkenstieg",,platform,,,,5020,5606,no,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,385545536,bus_stop,"Deutsch Evern, Petersberg",,platform,,,,5020,5606,yes,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,272618493,bus_stop,"Deutsch Evern, Am Tiergarten",,platform,no,,,5606,no,no,,yes,,,,,,,,,,,,,,,,,,"Deutsch Evern, Nordausgang",,,,,,,,,,,,,,,,,,,,
node,7462422450,bus_stop,"Deutsch Evern, Tiergartenstraße",,platform,,,,5606,ASM,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,309179087,bus_stop,"Deutsch Evern, Birkenweg",,platform,yes,,,5020,5606,no,yes,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5254285882,bus_stop,Schützenstraße,HVV,platform,,KVG,"Deutsch Evern, Sch?tzenstra?e",,,,,yes,5606,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2316338604,bus_stop,Im Alten Dorfe,HVV,platform,yes,KVG,"S?dergellersen, Im Alten Dorfe",5201,5203,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,181396837,bus_stop,Am Kreideberg,HVV,platform,,KVG,"L?neburg, Am Kreideberg",,no,no,,yes,5014,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,181396824,bus_stop,Stöteroggestraße (Süd),HVV,platform,,KVG,"L?neburg, St?teroggestra?e (S?d)",,no,no,,yes,5014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
