name,x,y,osmid,passengers,cluster
Heinrich-Böll-Straße,10.4039471,53.2267352,273712613,5.0,4.0
Carl-von-Ossietzky-Straße,10.4015929,53.2275296,275907714,5.0,4.0
Otto-Brenner-Straße,10.478437,53.2423045,3087504050,5.0,6.0
Flugplatz,10.4592049,53.2448717,119994939,7.0,6.0
Walter-Bötcher-Straße,10.4459578,53.2455633,373161853,5.0,6.0
Stadtkoppel,10.4492537,53.2461948,302304521,3.0,6.0
Kurt-Höbold-Straße,10.4778019,53.2402935,7043202191,2.0,6.0
Richard-Brauer-Straße,10.4429666,53.2447657,2843007891,2.0,7.0
Elso-Klöver-Straße,10.477347,53.2465791,3699972417,5.0,6.0
Gellersstraße,10.4300483,53.2478555,301866208,8.0,7.0
Wilhelm-Fressel-Straße,10.4760492,53.2390287,7043202216,8.0,6.0
Schildsteinweg,10.3914278,53.2407532,196043670,3.0,12.0
Finanzamt,10.4121817,53.2554488,302887839,4.0,5.0
Auf dem Schmaarkamp,10.4105509,53.2603115,313957909,3.0,11.0
Auf der Hude,10.4136152,53.2583328,1588318071,0.0,
Tennispark,10.3849925,53.2598361,2041723022,5.0,1.0
Brockwinkler Weg,10.3866216,53.256493,287098772,2.0,1.0
Neu Häcklingen,10.4055348,53.2094134,1602107135,5.0,0.0
Zeltberg,10.4069669,53.2650556,313954414,2.0,11.0
Pumpenstation,10.3675583,53.2652064,4065795354,2.0,2.0
Vrestorfer Weg,10.4260987,53.2788106,2332372281,2.0,3.0
Teufelsküche,10.384344,53.2382175,277251847,9.0,12.0
Ernst-Braune-Straße,10.388196,53.23946,319008950,8.0,12.0
Leuphana,10.4010697,53.2300356,5249245058,5.0,4.0
Lüner Rennbahn,10.4227875,53.2748865,346183826,8.0,3.0
Schlachthof,10.4249277,53.2727519,1330162044,0.0,
Auf den Blöcken,10.4613219,53.2384976,104072787,8.0,6.0
Bessemerstraße,10.4128482,53.2697777,2973160630,1.0,5.0
SZ Kaltenmoor,10.4362805,53.2390035,1459111220,6.0,10.0
Rettmer (Mitte),10.3697803,53.2139069,582819370,4.0,0.0
Kloster Lüne,10.4233448,53.2609955,318077802,6.0,3.0
Hasenburger Berg,10.3977854,53.2356105,395336856,5.0,9.0
Zentralfriedhof,10.3988728,53.2370178,268754159,4.0,9.0
Am Eiskeller,10.3850037,53.2362354,323190902,7.0,14.0
Auf dem Knieberg,10.3884282,53.2356314,305333659,10.0,14.0
Heidkamp,10.3931163,53.235028,2693352776,7.0,14.0
Meinekenhop,10.3876742,53.2375288,319010384,4.0,12.0
Ringstraße,10.38936,53.2358785,175237596,5.0,12.0
Soltauer Straße (Kurzentrum),10.4016865,53.241219,318900995,4.0,9.0
Clamartpark,10.4094815,53.2457263,3347854743,9.0,11.0
Hasenburger Schule,10.3973858,53.2331247,395336864,4.0,14.0
Rosenkamp Wendeplatz,10.3809308,53.2237159,374423407,14.0,9.0
Övelgönner Weg,10.3918692,53.2298285,469967662,3.0,9.0
Königsberger Straße,10.4086651,53.2627692,2988597647,7.0,11.0
Am Graben,10.4180528,53.2668709,299750887,2.0,5.0
Böcklerstraße/TÜV,10.4098875,53.2716586,299750852,2.0,5.0
Eisenbahnbrücke,10.4189258,53.2623711,3957759599,3.0,5.0
Goseburgstraße,10.4181483,53.2646288,1754660733,2.0,5.0
Ilmenaucenter,10.4165325,53.2608424,181476668,3.0,5.0
Konrad-Zuse-Allee,10.4169116,53.2561248,268638530,1.0,11.0
EDEKA,10.4232857,53.2813577,382366792,3.0,3.0
Brockwinklerweg,10.3863261,53.2570492,339699613,0.0,
An der Roten Bleiche (Universität),10.4132004,53.2387357,1687409703,3.0,13.0
Feldstraße (Universität),10.4137315,53.2420275,111246693,4.0,13.0
GHS Kreideberg,10.3982108,53.2619427,351118780,1.0,2.0
Herderschule,10.3913545,53.2558772,361362587,5.0,2.0
Spechtsweg,10.4164645,53.2323864,292566443,8.0,13.0
Kanalbrücke,10.4842206,53.2356735,114242773,9.0,6.0
Veilchenring,10.3723079,53.2104621,8245152809,2.0,0.0
Tartuer Platz,10.4329656,53.2528511,303148144,5.0,10.0
Konrad-Adenauer-Straße Ost,10.4451221,53.2312612,6401544528,7.0,8.0
