,element_type,osmid,x,y,geometry,passengers,cluster,name
63,node,414160021,10.3924213,53.2500778,POINT (10.3924213 53.2500778),4,8,Vor dem Neuen Tore
64,node,414165032,10.3938125,53.2511306,POINT (10.3938125 53.2511306),3,8,Dörnbergstraße
65,node,414165037,10.3923654,53.2565779,POINT (10.3923654 53.2565779),2,8,Witzendorffstraße
66,node,414167814,10.3911893,53.2614652,POINT (10.3911893 53.2614652),1,12,Ebelingweg
67,node,414191748,10.3852786,53.2693964,POINT (10.3852786 53.2693964),6,14,Naruto-Straße
68,node,414191934,10.3867792,53.2706226,POINT (10.3867792 53.2706226),8,14,Krähornsberg
69,node,414237514,10.3895463,53.2794573,POINT (10.3895463 53.2794573),8,14,Teilfeld
70,node,414576607,10.4044742,53.2699592,POINT (10.4044742 53.2699592),6,12,Wilhelm-Hänel-Weg
71,node,415596176,10.3891011,53.2686373,POINT (10.3891011 53.2686373),2,14,Am Wildgehege
72,node,415596178,10.3930618,53.255513,POINT (10.3930618 53.255513),9,8,Laffertstraße
73,node,415596179,10.3996894,53.2540821,POINT (10.3996894 53.2540821),6,10,Schomakerstraße
74,node,415596180,10.4002528,53.2521255,POINT (10.4002528 53.2521255),7,13,Am Springintgut
75,node,415596181,10.4027651,53.2509053,POINT (10.4027651 53.2509053),7,9,Am Graalwall
76,node,415596182,10.4040892,53.2478008,POINT (10.4040892 53.2478008),10,14,Neue Sülze
77,node,415596183,10.4031072,53.2456516,POINT (10.4031072 53.2456516),12,5,Lambertiplatz
78,node,415971822,10.4068106,53.2506572,POINT (10.4068106 53.2506572),5,10,Rathaus
79,node,417024690,10.4102138,53.2406193,POINT (10.4102138 53.2406193),8,5,Kefersteinstraße (UNI)
80,node,420486166,10.4452134,53.2035664,POINT (10.4452134 53.2035664),0,,Schützenstraße
81,node,430086361,10.4042363,53.255164,POINT (10.4042363 53.255164),4,9,Am Kreideberg
82,node,430086363,10.4020549,53.2556211,POINT (10.4020549 53.2556211),6,9,Stöteroggestraße (Süd)
83,node,430086365,10.3989629,53.2574691,POINT (10.3989629 53.2574691),2,12,Boizenburger Straße
84,node,430086366,10.3943921,53.2585943,POINT (10.3943921 53.2585943),5,8,Thorner Straße (West)
85,node,430086367,10.3997927,53.2595982,POINT (10.3997927 53.2595982),10,8,Thorner Platz
86,node,430086368,10.4032549,53.2606612,POINT (10.4032549 53.2606612),7,12,Salzwedeler Straße
87,node,430086370,10.4028514,53.2627146,POINT (10.4028514 53.2627146),4,12,Elbinger Straße
88,node,430086371,10.401462,53.2641491,POINT (10.401462 53.2641491),8,12,Dessauer Straße
89,node,430086372,10.3993732,53.266558,POINT (10.3993732 53.266558),3,13,Magdeburger Straße
90,node,430086374,10.3993537,53.2644566,POINT (10.3993537 53.2644566),7,12,Stöteroggestraße (Nord)
91,node,444017996,10.3832526,53.2287752,POINT (10.3832526 53.2287752),6,8,Hasenburger Weg
92,node,471792857,10.4599879,53.2437212,POINT (10.4599879 53.2437212),3,4,Lilienthalstraße
93,node,471794057,10.4625961,53.245733,POINT (10.4625961 53.245733),1,3,Von-Stern-Straße
94,node,471794059,10.4692372,53.249358,POINT (10.4692372 53.249358),3,3,Eisenwerk
95,node,471796358,10.4656699,53.248161,POINT (10.4656699 53.248161),2,3,Gebrüder-Heyn-Straße
96,node,471796360,10.4473637,53.2440639,POINT (10.4473637 53.2440639),2,4,Hagen-Schule
97,node,471796939,10.4425033,53.2452459,POINT (10.4425033 53.2452459),1,3,Wacholderweg
98,node,475959143,10.4381585,53.2465445,POINT (10.4381585 53.2465445),5,3,Ahornweg
99,node,522791942,10.3957654,53.2839468,POINT (10.3957654 53.2839468),6,14,Landwehr
100,node,522795523,10.3983505,53.2810195,POINT (10.3983505 53.2810195),4,14,Hagemannsweg
101,node,538482515,10.410347,53.2094935,POINT (10.410347 53.2094935),3,5,Rote Schleuse
102,node,538482521,10.4054578,53.22347,POINT (10.4054578 53.22347),4,5,Bernhard-Riemann-Straße
103,node,574834364,10.3744107,53.2644052,POINT (10.3744107 53.2644052),2,12,Kulturforum Wienebüttel
104,node,595316447,10.428384,53.2715467,POINT (10.428384 53.2715467),3,11,Schwarzer Weg
105,node,596510627,10.4541438,53.2614926,POINT (10.4541438 53.2614926),5,13,Gut Olm
106,node,596510630,10.4600774,53.2637503,POINT (10.4600774 53.2637503),3,13,Abzweigung Ebensberg
107,node,598165240,10.4436723,53.2608865,POINT (10.4436723 53.2608865),3,11,Hölderlinstraße
108,node,734659529,10.4399979,53.242081,POINT (10.4399979 53.242081),0,,Ostlandring
109,node,734659530,10.4423226,53.2409945,POINT (10.4423226 53.2409945),6,4,Freibad
110,node,795056872,10.4167169,53.26866,POINT (10.4167169 53.26866),3,9,Goebelstraße
111,node,818722480,10.4837546,53.2364276,POINT (10.4837546 53.2364276),2,3,Otto-Brenner-Straße (Kehre)
112,node,869281373,10.4057395,53.2669292,POINT (10.4057395 53.2669292),5,12,Sternkamp
113,node,871730916,10.4412818,53.2495011,POINT (10.4412818 53.2495011),2,3,Bunsenstraße
114,node,871731608,10.4400425,53.2473918,POINT (10.4400425 53.2473918),2,3,Bachstraße
115,node,902415882,10.3790788,53.2244958,POINT (10.3790788 53.2244958),9,1,Rosenkamp
116,node,902415888,10.3767866,53.2247574,POINT (10.3767866 53.2247574),3,1,Schmiedestraße
117,node,902415900,10.3725779,53.2263697,POINT (10.3725779 53.2263697),3,1,Rehrweg
118,node,915967687,10.3840653,53.249349,POINT (10.3840653 53.249349),2,8,Volgershall/UNI
119,node,924513262,10.397306,53.2407753,POINT (10.397306 53.2407753),9,6,Städtisches Klinikum
120,node,1039463414,10.4313902,53.2509696,POINT (10.4313902 53.2509696),5,3,Behördenzentrum (Ost)
121,node,1048704480,10.3880794,53.2543494,POINT (10.3880794 53.2543494),5,13,Psychiatrische Klinik
122,node,1108268733,10.4047332,53.2741646,POINT (10.4047332 53.2741646),2,9,Bei der Pferdehütte
123,node,1116593359,10.3812801,53.2465139,POINT (10.3812801 53.2465139),7,14,Alec-Moore-Straße
124,node,1116593365,10.3985975,53.2452478,POINT (10.3985975 53.2452478),10,6,Am Bargenturm
