name,x,y,osmid
Neumühlen bei Rullstorf,10.5858354,53.2874917,728601573
Das Rote Feld,,,420155010
"Alt Garge, Hauptstraße",,,320858912
"Eimstorf, Ort",10.6828334,53.1862227,278243150
Alte Salzstraße,,10.4557029,369829358
Artlenburger Landstraße,10.4274564,53.2794438,2332372283
Bockelheide,10.6403465,53.2810053,2406061692
"Wittorf, Birkenweg",10.355069,53.3270942,317676997
Veilchenring,,10.3723079,8245152809
"Horburg, Im Winkel",,10.3944561,433017861
"Horburg, Schule",10.4036105,53.3540064,362093968
"St. Dionys, Gotenweg",,,582947071
"Artlenburg, Hopfenhof",10.4862852,53.3725339,2370520897
"Barförde, Barförder Elbdeich 22",,10.6282233,275639229
"Dahlenburg, Mittelfeld",,10.7237884,774862471
"Dahlenburg, Ehrenfriedhof",,10.7314192,8813390762
"Bockelkathen, Auf dem Kreuze",,10.5691162,1411319176
"Lüdersburg, Bachkoppelweg",,10.5722596,206278990
"Rosenthal, Ortsmitte",10.6335663,53.3112261,290823730
"Bleckeder Moor, Zweiter Moorweg",10.666641,53.2975978,275648240
"Karze, Am Rotdorn",10.6752663,53.3154938,1067860447
"Neu Jürgenstorf, Ort",,,206278954
"Neu Jürgenstorf, Rosenthaler Weg",,10.6168856,206278954
"Neu Neetze, Haus Nr. 50",10.6323779,53.301733,3751608250
"Garlstorf, Dorfstraße 36",,10.676738,287014411
"Garlstorf, Dorfstraße 68",,10.6697376,513951024
"Radegast, Pferdekoppel",,,1720652175
"Radegast, Zum Kirchplatz",,,410916180
"Radegast, Elbuferstraße 41",,10.7162708,482156873
"Wendewisch, Hittberger Straße 59",,10.6473268,1294141096
"Wendewisch, Siedlung",,10.6530073,8991919413
"Barförde, Feuerwehr",,10.6323104,8716733466
"Barförde, Hinter den Höfen",10.6383729,53.3671791,3245889306
"Garlstorf, Schmiede",,10.6600421,8718605728
"Bullendorf, Brücke",,10.566308,29539485
"Hittbergen, Feldstraße",10.5950416,53.3443083,260373655
"Hittbergen, Im Kamp",,,290823842
"Hittbergen, Schönfeld",,10.6152667,3882554551
Wennekath 5,,10.6242331,7342250178
Wennekath 8,,10.6322698,324045717
Süttorf,10.6354576,53.2479476,1281368280
Neu Bleckede,10.7471717,53.3024296,286860553
"Dahlenburg, Fliederweg",10.7314217,53.1843821,314668739
"Lemgrabe, An der Kleinbahn",,,1711950728
Birkenhof,10.6980317,53.1972976,289344634
"Ellringen, Ellringer Neetzetal",10.703255,53.2234077,1053087616
Klein Sommerbeck 15,10.6785795,53.2014664,1838536537
"Wiecheln, Abzweig K 26",,10.6766872,82615616
"Barskamp, Hohe Luft",10.7771277,53.2415976,317372769
Feldstraße,,,252229125
"Radbruch, Peerort",,10.2918472,311593778
"Echem, Dorfstraße",,10.5331709,7950259357
"Marienthal, Alte Salzstraße",,10.4725373,299136013
"Radbruch, Mühle",10.3136963,53.3051747,7466201289
"Radbruch, Wittorferweg",10.2941944,53.3087294,1938275557
"Bardowick, Wendeplatz",,10.3559539,393824226
Hamburger Landstraße,,10.3868997,7046503994
"Artlenburg, Mühle",10.4989909,53.3687034,2697806584
"Dachtmissen, Waldweg",,10.3162694,356905909
"Wittorf, Hauptstraße",,10.3805995,7048403408
"Wittorf, Brücke",10.3819406,53.3318132,2537095340
"Wittorf, Neulander Weg",10.3646075,53.3293056,2536581848
"Handorf, Mühle",10.3474554,53.338914,7679492562
"Handorf, Ortsmitte",10.345704,53.3435453,880485710
"Vastorf, Gifkendorfer Straße",,10.5461749,294214964
"Vastorf, Bahnbrücke",,10.5455513,278802893
"Horndorf, Kreuzung B 216",,10.587352,109348618
"Rohstorf, Ort",,10.5823456,8526832480
Volkstorf,,10.5459413,1851919318
Schule B,10.5371366,53.2254971,121136981
"Ellringen, Kettelberg",10.7040434,53.2262198,82615634
"Neetze, Am Ried",10.6198868,53.2734573,324243468
"Neu Jürgenstorf, Ahrenschulter",10.6240146,53.3161402,1392485084
"Rosenthal, L 219",,10.6340671,290823737
Vogelsang 11,10.6507453,53.3241209,8935642944
"Vogelsang, Ort",,10.6596535,8935642937
"Bleckeder Moor, Heidmoor",,10.6731644,275648241
"Bleckeder Moor, Fuchsweg",10.6903112,53.2923899,1825241579
"Garlstorf, Neu Brackede",10.6911641,53.348685,287014402
"Brackede, Abzweig Garlstorf",,,287014402
"Barförde, Poggenort",,,482156862
"Barförde, Elbdeich 15",,,3235803043
Kirchgellerser Straße,,,2376837835
"Südergellersen, Stähwiesen",,10.2971117,419327366
"Kirchgellersen, Grundschule",10.2909644,53.2342138,265791156
Dachtmisser Straße,,10.3449053,354956451
"Amelinghausen, Bahnhof",,,665485671
Tartuer Platz,10.4329656,53.2528511,303148144
"Wendhausen, Wendenstraße",,10.5608855,1417611429
"Holzen, Op dan Brink",,,767330154
"Neu Neetze, Denker",10.6217631,53.2950977,290823834
"Gienau, Wiebecker Straße",10.6644576,53.1645591,272772967
Groß Sommerbeck 3,10.6808782,53.2047377,317985403
"Neu Neetze, Tennisclub",10.6168579,53.2867567,1286011651
Konrad-Adenauer-Straße Ost,10.4451221,53.2312612,6401544528
Bf. Dahlenburg,10.7053709,53.16974,1860842794
Pulverweg (Süd),,,203053094
Bf. Lüneburg (ZOB),10.4191931,53.2488356,1116169518
