,element_type,osmid,highway,name,network,public_transport,geometry,bench,operator,ref_name,route_ref,shelter,tactile_paving,bicycle_parking,bus,lines,wheelchair,designation,local_ref,source,bin,lastcheck,passenger_information_display,name:HVV,lit,check_date:shelter,wheelchair:description,covered,note,ref,departures_board,fixme,removed:ref_name,network:wikidata,network:wikipedia,description,comment,name:note,toilets:wheelchair,check_date:tactile_paving,level,network:short,name:description,line,check_date:bench,amenity,loc_name,railway,name:source,shelter:description,surface,nodes,layer,x,y
876,node,317372769,bus_stop,"Barskamp, Hohe Luft",,platform,POINT (10.7771277 53.2415976),,,,5103,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7771277,53.2415976
882,node,252229125,bus_stop,Feldstraße,,platform,POINT (10.3702017 53.2894336),no,,"Bardowick, Feldstraße",5002;5403;5404;ASM,yes,no,,,,yes,,,,no,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3702017,53.2894336
886,node,311593778,bus_stop,"Radbruch, Peerort",HVV,platform,POINT (10.2918472 53.3168729),yes,,,5403;5404,yes,no,,yes,,,,,,yes,,,,yes,,,,,,,,,Q896916,de:Hamburger Verkehrsverbund,,,,,,,,,,,,,,,,,,,10.2918472,53.3168729
887,node,7950259357,bus_stop,"Echem, Dorfstraße",,platform,POINT (10.5331709 53.3367656),,,,5902;5931,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5331709,53.3367656
889,node,299136013,bus_stop,"Marienthal, Alte Salzstraße",,platform,POINT (10.4725373 53.3622633),yes,,,5900;5903,yes,no,,,,,,,,yes,,,,,,,,,,,,,,,"Die Haltestelle trägt nachwievor den Namen ""Ort"" ..",,,,,,,,,,,,,Fahrplan,,,,,10.4725373,53.3622633
890,node,7466201289,bus_stop,"Radbruch, Mühle",,platform,POINT (10.3136963 53.3051747),,,,5403,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3136963,53.3051747
892,node,1938275557,bus_stop,"Radbruch, Wittorferweg",,platform,POINT (10.2941944 53.3087294),yes,,,5403,yes,,,,,yes,,,,,,,,,2021-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2941944,53.3087294
894,node,393824226,bus_stop,"Bardowick, Wendeplatz",,platform,POINT (10.3559539 53.2938116),,,,5403;5404,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3559539,53.2938116
897,node,7046503994,bus_stop,Hamburger Landstraße,,platform,POINT (10.3868997 53.2935428),yes,,,4714;5402,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3868997,53.2935428
901,node,2697806584,bus_stop,"Artlenburg, Mühle",,platform,POINT (10.4989909 53.3687034),no,,,5903,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4989909,53.3687034
903,node,356905909,bus_stop,"Dachtmissen, Waldweg",,platform,POINT (10.3162694 53.2523063),,,,5202;5203,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3162694,53.2523063
904,node,7048403408,bus_stop,"Wittorf, Hauptstraße",,platform,POINT (10.3805995 53.3305839),,,,5402;5405,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3805995,53.3305839
906,node,2537095340,bus_stop,"Wittorf, Brücke",,platform,POINT (10.3819406 53.3318132),,,,5405,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3819406,53.3318132
907,node,2536581848,bus_stop,"Wittorf, Neulander Weg",,platform,POINT (10.3646075 53.3293056),,,,5402,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3646075,53.3293056
909,node,7679492562,bus_stop,"Handorf, Mühle",,platform,POINT (10.3474554 53.338914),yes,,,5402,yes,no,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3474554,53.338914
911,node,880485710,bus_stop,"Handorf, Ortsmitte",,platform,POINT (10.345704 53.3435453),yes,,,5402,yes,no,,,,yes,,,,yes,,,,,,,,,,,,,,,Das Wartehäuschen befindet sich etwas 100m südlich die Hauptstraße entlang,,,,,,,,,,,,,,,,,,10.345704,53.3435453
912,node,294214964,bus_stop,"Vastorf, Gifkendorfer Straße",,platform,POINT (10.5461749 53.1974828),,,,5361;5362,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5461749,53.1974828
913,node,278802893,bus_stop,"Vastorf, Bahnbrücke",,platform,POINT (10.5455513 53.2001171),,,,5361;5362,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bushäuschen befindet sich in der Nebenstraße ..,,,,10.5455513,53.2001171
914,node,109348618,bus_stop,"Horndorf, Kreuzung B 216",,platform,POINT (10.587352 53.214515),yes,,,5300;5304,yes,no,,,,,,,,no,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.587352,53.214515
915,node,8526832480,bus_stop,"Rohstorf, Ort",,platform,POINT (10.5823456 53.2029603),,,,5361;5362,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5823456,53.2029603
918,node,1851919318,bus_stop,Volkstorf,,platform,POINT (10.5459413 53.2062821),,,,5361;5362,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5459413,53.2062821
919,node,121136981,bus_stop,Schule B,HVV,platform,POINT (10.5371366 53.2254971),,,"Barendorf, Schule",5361,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5371366,53.2254971
925,node,82615634,bus_stop,"Ellringen, Kettelberg",,platform,POINT (10.7040434 53.2262198),no,,,5362,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7040434,53.2262198
927,node,324243468,bus_stop,"Neetze, Am Ried",,platform,POINT (10.6198868 53.2734573),,,,5112,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6198868,53.2734573
930,node,1392485084,bus_stop,"Neu Jürgenstorf, Ahrenschulter",,platform,POINT (10.6240146 53.3161402),yes,,,5104,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,"Am Schild steht noch ""Abzw. Ahrenschulter"" ..",,,,,,,,,,,,,,,,10.6240146,53.3161402
932,node,290823737,bus_stop,"Rosenthal, L 219",,platform,POINT (10.6340671 53.3154685),,,,5104;5102,yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Am Schild steht noch ""Rosenthal"" ..",,,,,,,,,,,,,,,,10.6340671,53.3154685
934,node,8935642944,bus_stop,Vogelsang 11,,platform,POINT (10.6507453 53.3241209),,,,5104,no,,,,,,,,,,,,,,,,,,,,,,,,,,"Am Schild steht noch ""Haus Nr. 11"" ..",,,,,,,,,,,,,,,,10.6507453,53.3241209
936,node,8935642937,bus_stop,"Vogelsang, Ort",,platform,POINT (10.6596535 53.3242727),,,,5104;5152-ASM,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6596535,53.3242727
938,node,275648241,bus_stop,"Bleckeder Moor, Heidmoor",,platform,POINT (10.6731644 53.2995353),,,,5104;5152-ASM,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6731644,53.2995353
940,node,1825241579,bus_stop,"Bleckeder Moor, Fuchsweg",,platform,POINT (10.6903112 53.2923899),,,,5104,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6903112,53.2923899
942,node,287014402,bus_stop,"Garlstorf, Neu Brackede",,platform,POINT (10.6911641 53.348685),,,,5102,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6911641,53.348685
944,node,287014402,bus_stop,"Brackede, Abzweig Garlstorf",,platform,POINT (10.6996707 53.3482567),,,,5102;5104;5152-AST,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6996707,53.3482567
946,node,482156862,bus_stop,"Barförde, Poggenort",,platform,POINT (10.6433558 53.3604898),,,,5102;5917;5152-AST,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6433558,53.3604898
948,node,3235803043,bus_stop,"Barförde, Elbdeich 15",,platform,POINT (10.6382803 53.3626705),,,,5102;5917;5152-AST,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6382803,53.3626705
954,node,2376837835,bus_stop,Kirchgellerser Straße,,platform,POINT (10.2974503 53.2133454),,,,5201;5203;ASM,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2974503,53.2133454
956,node,419327366,bus_stop,"Südergellersen, Stähwiesen",HVV,platform,POINT (10.2971117 53.2160895),,KVG,,5201;5203,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2971117,53.2160895
958,node,265791156,bus_stop,"Kirchgellersen, Grundschule",,platform,POINT (10.2909644 53.2342138),,,,5201,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2909644,53.2342138
959,node,354956451,bus_stop,Dachtmisser Straße,,platform,POINT (10.3449053 53.250619),,,,5202;5203,no,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3449053,53.250619
961,node,665485671,bus_stop,"Amelinghausen, Bahnhof",,platform,POINT (10.2155574 53.1307291),yes,,,4406;5701;5706,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2155574,53.1307291
971,node,303148144,bus_stop,Tartuer Platz,HVV,platform,POINT (10.4329656 53.2528511),no,KVG,"Lüneburg, Tartuer Platz",,no,yes,,,5004,,,,,no,,,,no,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,10.4329656,53.2528511
973,node,1417611429,bus_stop,"Wendhausen, Wendenstraße",,platform,POINT (10.5608855 53.2496753),,,,5110;5362,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5608855,53.2496753
975,node,767330154,bus_stop,"Holzen, Op dan Brink",,platform,POINT (10.5827643 53.241263),yes,,,5110;5362;ASM,yes,no,yes,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5827643,53.241263
976,node,290823834,bus_stop,"Neu Neetze, Denker",,platform,POINT (10.6217631 53.2950977),,,,5112,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6217631,53.2950977
978,node,272772967,bus_stop,"Gienau, Wiebecker Straße",,platform,POINT (10.6644576 53.1645591),,,,5303,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6644576,53.1645591
981,node,317985403,bus_stop,Groß Sommerbeck 3,,platform,POINT (10.6808782 53.2047377),,,,5302,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,"Am Haltestellenschild steht noch der Name ""Groß Sommerbeck"".",,,,,,,,,,,,,,,,10.6808782,53.2047377
984,node,1286011651,bus_stop,"Neu Neetze, Tennisclub",,platform,POINT (10.6168579 53.2867567),no,,,5112,no,no,,,,,,,,,,,,no,2021-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6168579,53.2867567
987,node,6401544528,bus_stop,Konrad-Adenauer-Straße Ost,HVV,platform,POINT (10.4451221 53.2312612),no,,"Lüneburg, Konrad-Adenauer-Straße Ost",,no,yes,,yes,5019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4451221,53.2312612
992,way,1860842794,bus_stop,Bf. Dahlenburg,HVV,platform,POINT (10.7053709 53.16974),,,"Bf. Dahlenburg, Dahlenburg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[4530346483, 4530346482]",,10.7053709,53.16974
994,way,203053094,bus_stop,Pulverweg (Süd),HVV,platform,POINT (10.4212315 53.2484839),no,KVG,"Lüneburg, Pulverweg Süd",,no,yes,,,5007;5010;5011;5012;5014;5015;5100,,,,,yes,20141012,no,,,,,,,a,,,,,,,,,,,,,,,,,,,,,,"[4543202235, 4543202234]",,10.4212315,53.2484839
997,way,1116169518,bus_stop,Bf. Lüneburg (ZOB),,platform,POINT (10.4191931 53.2488356),yes,,Lüneburg ZOB,5010,yes,yes,,,,,,3,,yes,,no,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,"[4563905003, 4563905002]",1,10.4191931,53.2488356
