,name,element_type,osmid,x,y,geometry,passengers,cluster
61,Jägerstraße,node,414154230,10.3847644,53.2489566,POINT (10.3847644 53.2489566),3,10.0
62,Johanna-Stegen-Straße,node,414160019,10.3874009,53.2494991,POINT (10.3874009 53.2494991),5,10.0
63,Vor dem Neuen Tore,node,414160021,10.3924213,53.2500778,POINT (10.3924213 53.2500778),4,10.0
64,Dörnbergstraße,node,414165032,10.3938125,53.2511306,POINT (10.3938125 53.2511306),3,10.0
65,Witzendorffstraße,node,414165037,10.3923654,53.2565779,POINT (10.3923654 53.2565779),2,9.0
66,Ebelingweg,node,414167814,10.3911893,53.2614652,POINT (10.3911893 53.2614652),1,13.0
67,Naruto-Straße,node,414191748,10.3852786,53.2693964,POINT (10.3852786 53.2693964),6,14.0
68,Krähornsberg,node,414191934,10.3867792,53.2706226,POINT (10.3867792 53.2706226),8,14.0
69,Teilfeld,node,414237514,10.3895463,53.2794573,POINT (10.3895463 53.2794573),8,14.0
70,Wilhelm-Hänel-Weg,node,414576607,10.4044742,53.2699592,POINT (10.4044742 53.2699592),6,13.0
71,Am Wildgehege,node,415596176,10.3891011,53.2686373,POINT (10.3891011 53.2686373),2,14.0
72,Laffertstraße,node,415596178,10.3930618,53.255513,POINT (10.3930618 53.255513),9,9.0
73,Schomakerstraße,node,415596179,10.3996894,53.2540821,POINT (10.3996894 53.2540821),6,10.0
74,Am Springintgut,node,415596180,10.4002528,53.2521255,POINT (10.4002528 53.2521255),7,10.0
75,Am Graalwall,node,415596181,10.4027651,53.2509053,POINT (10.4027651 53.2509053),7,12.0
76,Neue Sülze,node,415596182,10.4040892,53.2478008,POINT (10.4040892 53.2478008),10,12.0
77,Lambertiplatz,node,415596183,10.4031072,53.2456516,POINT (10.4031072 53.2456516),12,12.0
78,Rathaus,node,415971822,10.4068106,53.2506572,POINT (10.4068106 53.2506572),5,14.0
79,Kefersteinstraße (UNI),node,417024690,10.4102138,53.2406193,POINT (10.4102138 53.2406193),8,11.0
80,Schützenstraße,node,420486166,10.4452134,53.2035664,POINT (10.4452134 53.2035664),0,
81,Am Kreideberg,node,430086361,10.4042363,53.255164,POINT (10.4042363 53.255164),4,8.0
82,Stöteroggestraße (Süd),node,430086363,10.4020549,53.2556211,POINT (10.4020549 53.2556211),6,8.0
83,Boizenburger Straße,node,430086365,10.3989629,53.2574691,POINT (10.3989629 53.2574691),2,12.0
84,Thorner Straße (West),node,430086366,10.3943921,53.2585943,POINT (10.3943921 53.2585943),5,9.0
85,Thorner Platz,node,430086367,10.3997927,53.2595982,POINT (10.3997927 53.2595982),10,9.0
86,Salzwedeler Straße,node,430086368,10.4032549,53.2606612,POINT (10.4032549 53.2606612),7,9.0
87,Elbinger Straße,node,430086370,10.4028514,53.2627146,POINT (10.4028514 53.2627146),4,9.0
88,Dessauer Straße,node,430086371,10.401462,53.2641491,POINT (10.401462 53.2641491),8,9.0
89,Magdeburger Straße,node,430086372,10.3993732,53.266558,POINT (10.3993732 53.266558),3,14.0
90,Stöteroggestraße (Nord),node,430086374,10.3993537,53.2644566,POINT (10.3993537 53.2644566),7,9.0
91,Hasenburger Weg,node,444017996,10.3832526,53.2287752,POINT (10.3832526 53.2287752),6,2.0
