,Unnamed: 0,element_type,osmid,x,y,geometry,passengers,cluster,name
61,131,node,414154230,10.3847644,53.2489566,POINT (10.3847644 53.2489566),3,7,Jägerstraße
62,132,node,414160019,10.3874009,53.2494991,POINT (10.3874009 53.2494991),1,7,Johanna-Stegen-Straße
63,133,node,414160021,10.3924213,53.2500778,POINT (10.3924213 53.2500778),3,7,Vor dem Neuen Tore
64,134,node,414165032,10.3938125,53.2511306,POINT (10.3938125 53.2511306),6,7,Dörnbergstraße
65,135,node,414165037,10.3923654,53.2565779,POINT (10.3923654 53.2565779),6,10,Witzendorffstraße
66,136,node,414167814,10.3911893,53.2614652,POINT (10.3911893 53.2614652),9,14,Ebelingweg
67,138,node,414191748,10.3852786,53.2693964,POINT (10.3852786 53.2693964),9,12,Naruto-Straße
68,139,node,414191934,10.3867792,53.2706226,POINT (10.3867792 53.2706226),3,12,Krähornsberg
69,142,node,414237514,10.3895463,53.2794573,POINT (10.3895463 53.2794573),2,12,Teilfeld
70,143,node,414576607,10.4044742,53.2699592,POINT (10.4044742 53.2699592),7,12,Wilhelm-Hänel-Weg
71,145,node,415596176,10.3891011,53.2686373,POINT (10.3891011 53.2686373),7,12,Am Wildgehege
72,147,node,415596178,10.3930618,53.255513,POINT (10.3930618 53.255513),6,10,Laffertstraße
73,148,node,415596179,10.3996894,53.2540821,POINT (10.3996894 53.2540821),8,11,Schomakerstraße
74,149,node,415596180,10.4002528,53.2521255,POINT (10.4002528 53.2521255),3,9,Am Springintgut
75,150,node,415596181,10.4027651,53.2509053,POINT (10.4027651 53.2509053),4,9,Am Graalwall
76,151,node,415596182,10.4040892,53.2478008,POINT (10.4040892 53.2478008),7,11,Neue Sülze
77,152,node,415596183,10.4031072,53.2456516,POINT (10.4031072 53.2456516),11,9,Lambertiplatz
78,157,node,415971822,10.4068106,53.2506572,POINT (10.4068106 53.2506572),5,11,Rathaus
79,158,node,417024690,10.4102138,53.2406193,POINT (10.4102138 53.2406193),3,8,Kefersteinstraße (UNI)
80,186,node,420486166,10.4452134,53.2035664,POINT (10.4452134 53.2035664),0,,Schützenstraße
81,191,node,430086361,10.4042363,53.255164,POINT (10.4042363 53.255164),3,9,Am Kreideberg
82,192,node,430086363,10.4020549,53.2556211,POINT (10.4020549 53.2556211),7,9,Stöteroggestraße (Süd)
83,193,node,430086365,10.3989629,53.2574691,POINT (10.3989629 53.2574691),5,10,Boizenburger Straße
84,194,node,430086366,10.3943921,53.2585943,POINT (10.3943921 53.2585943),3,10,Thorner Straße (West)
85,195,node,430086367,10.3997927,53.2595982,POINT (10.3997927 53.2595982),9,10,Thorner Platz
86,196,node,430086368,10.4032549,53.2606612,POINT (10.4032549 53.2606612),4,10,Salzwedeler Straße
87,197,node,430086370,10.4028514,53.2627146,POINT (10.4028514 53.2627146),7,10,Elbinger Straße
88,198,node,430086371,10.401462,53.2641491,POINT (10.401462 53.2641491),6,10,Dessauer Straße
89,199,node,430086372,10.3993732,53.266558,POINT (10.3993732 53.266558),7,10,Magdeburger Straße
90,200,node,430086374,10.3993537,53.2644566,POINT (10.3993537 53.2644566),4,10,Stöteroggestraße (Nord)
91,210,node,444017996,10.3832526,53.2287752,POINT (10.3832526 53.2287752),5,2,Hasenburger Weg
92,223,node,471792857,10.4599879,53.2437212,POINT (10.4599879 53.2437212),4,1,Lilienthalstraße
93,225,node,471794057,10.4625961,53.245733,POINT (10.4625961 53.245733),8,1,Von-Stern-Straße
94,227,node,471794059,10.4692372,53.249358,POINT (10.4692372 53.249358),1,1,Eisenwerk
95,229,node,471796358,10.4656699,53.248161,POINT (10.4656699 53.248161),1,1,Gebrüder-Heyn-Straße
96,231,node,471796360,10.4473637,53.2440639,POINT (10.4473637 53.2440639),5,1,Hagen-Schule
97,233,node,471796939,10.4425033,53.2452459,POINT (10.4425033 53.2452459),3,1,Wacholderweg
98,237,node,475959143,10.4381585,53.2465445,POINT (10.4381585 53.2465445),1,1,Ahornweg
99,280,node,522791942,10.3957654,53.2839468,POINT (10.3957654 53.2839468),7,12,Landwehr
